# t (s)	mx ()	my ()	mz ()
0	1.238677e-09	3.292165e-10	0.97953653
2.5192047993395996e-12	1.3497876e-09	9.876494e-10	0.9734024
5.046654199271062e-12	1.3415572e-09	1.1275665e-09	0.96803457
7.52064087204119e-12	8.230412e-10	1.8600731e-09	0.9641428
1.0043234647909863e-11	-1.975299e-10	2.6995752e-09	0.9621774
1.251534310934224e-11	-1.9012252e-09	2.8312617e-09	0.96246886
1.5035989047001632e-11	-3.0287917e-09	2.2386721e-09	0.9649159
1.7506631584598298e-11	-4.7407176e-09	5.925897e-10	0.9690313
2.0026322245233465e-11	-5.069934e-09	-2.3703588e-09	0.97413284
2.2545736954377258e-11	-4.213971e-09	-7.3744495e-09	0.9781824
2.5015527213963546e-11	8.5596286e-10	-1.1193361e-08	0.9764635
2.7534509761449813e-11	7.802431e-09	-1.0732458e-08	0.9609251
3.000397175469154e-11	1.1753029e-08	-6.4526433e-09	0.93047047
3.2522673107091455e-11	1.2312697e-08	-1.7119257e-09	0.89392734
3.504128544437258e-11	1.158842e-08	4.0822843e-09	0.8642598
3.751050212179791e-11	9.77773e-09	9.316826e-09	0.84336215
4.0028913734137633e-11	8.296255e-09	1.1310644e-08	0.828211
4.254691589775781e-11	4.9053255e-09	1.2049323e-08	0.8181722
4.5015654319204864e-11	1.5061654e-09	1.0650154e-08	0.8124829
4.753383156566684e-11	4.115206e-11	9.086375e-09	0.8100457
5.0002669590640185e-11	-6.4197214e-10	7.308606e-09	0.8101851
5.252082359284841e-11	-8.888845e-10	5.5884497e-09	0.8123027
5.5038983601508047e-11	3.292165e-10	4.685162e-09	0.81579286
5.750775891252599e-11	6.58433e-10	4.41253e-09	0.82004696
6.002590996970931e-11	1.4320917e-09	4.909441e-09	0.8249174
6.254407955236587e-11	8.065804e-10	5.234542e-09	0.8300752
6.501286175378163e-11	1.2510226e-09	4.7242565e-09	0.8351638
6.753103379948107e-11	1.5637783e-09	3.7695287e-09	0.84017235
7.004918589577824e-11	1.8106907e-09	4.3785793e-09	0.8448707
7.251797310114872e-11	2.0246813e-09	3.8024504e-09	0.84913284
7.50361079505193e-11	2.2880546e-09	4.4773443e-09	0.8531328
7.75048852011263e-11	2.4032802e-09	4.7736393e-09	0.856735
8.002304052076971e-11	2.0740638e-09	5.530837e-09	0.86011493
8.254118812084494e-11	1.3827093e-09	5.3991505e-09	0.86323774
8.500995222094117e-11	2.1399071e-09	4.8065605e-09	0.86609644
8.752807994885505e-11	2.4691236e-09	5.7283667e-09	0.8688548
9.004621359474073e-11	1.7448474e-09	5.464994e-09	0.8715006
9.251495900793465e-11	1.5143958e-09	6.18927e-09	0.87402445
9.503306770450743e-11	3.6213813e-10	6.9793895e-09	0.8765627
9.750179705078056e-11	-8.230412e-10	6.2551133e-09	0.87904876
1.0001989573973835e-10	-3.292165e-10	5.5966805e-09	0.88161546
1.0253800754906543e-10	-7.571979e-10	6.2551133e-09	0.8842491
1.050067431331137e-10	-9.876494e-10	6.3209566e-09	0.88693273
1.0752486138880628e-10	-1.777769e-09	6.650173e-09	0.88981515
1.1004296717635729e-10	-2.2386721e-09	7.506136e-09	0.89289117
1.1251171312715895e-10	-2.9629483e-09	7.2756845e-09	0.89614844
1.1502983539865877e-10	-3.6213814e-09	8.362099e-09	0.899782
1.175479687730756e-10	-5.432072e-09	8.699546e-09	0.90380645
1.200167312890841e-10	-7.835352e-09	9.061684e-09	0.90821767
1.2253486762682577e-10	-1.0732458e-08	8.625472e-09	0.9132873
1.2500364104863484e-10	-1.4419682e-08	6.913546e-09	0.918902
1.2752178767749612e-10	-1.856781e-08	4.1645887e-09	0.9253313
1.3003994584878276e-10	-2.3110998e-08	-5.2674637e-10	0.93239033
1.3250873924218659e-10	-2.7390811e-08	-7.637823e-09	0.9395578
1.3502693080432897e-10	-2.87406e-08	-2.0016362e-08	0.94610137
1.3754512532155114e-10	-2.7390811e-08	-3.4238514e-08	0.94945
1.4001395643210124e-10	-1.968509e-08	-4.9119098e-08	0.94482106
1.4253217850892983e-10	-1.1522577e-09	-6.031246e-08	0.9252513
1.450010102738474e-10	2.4625393e-08	-5.7942103e-08	0.8911527
1.4751921802968896e-10	4.4773444e-08	-4.9580002e-08	0.85431165
1.5003744845126363e-10	5.8600534e-08	-3.2049225e-08	0.82234585
1.5250653655780487e-10	6.228776e-08	-5.1254894e-09	0.7950139
1.5502508800328733e-10	5.3975043e-08	1.9489615e-08	0.77170146
1.575430373475155e-10	3.79422e-08	3.4633576e-08	0.75354743
1.600116802859446e-10	2.1349688e-08	3.9505977e-08	0.7408198
1.625298182514774e-10	7.753048e-09	3.5818754e-08	0.732516
1.650479566603936e-10	-1.5637783e-09	2.8971051e-08	0.72838455
