# t (s)	mx ()	my ()	mz ()
0	1.0370319e-09	5.925897e-10	0.97953594
2.519946370217023e-12	9.1522185e-09	-7.226302e-09	0.9740371
5.04731919791714e-12	2.396696e-08	-6.765399e-09	0.9693734
7.521211693808821e-12	3.9143842e-08	7.711896e-09	0.9661042
1.0043592181802905e-11	4.576109e-08	3.39093e-08	0.96460515
1.2515553058325204e-11	3.68064e-08	6.320956e-08	0.96516263
1.5036200923628015e-11	1.0534928e-08	8.5958426e-08	0.9677168
1.750691181770669e-11	-2.956364e-08	9.362917e-08	0.97185594
2.0026655019511832e-11	-7.999961e-08	7.690497e-08	0.9771188
2.254613746142372e-11	-1.2651789e-07	2.6600691e-08	0.9821057
2.5016026680072875e-11	-1.4325032e-07	-5.7415356e-08	0.983621
2.753502642281876e-11	-9.7579765e-08	-1.4683056e-07	0.975211
3.000442816763721e-11	-1.5703627e-08	-1.7856702e-07	0.9532627
3.252305380252105e-11	3.410683e-08	-1.8014727e-07	0.9223434
3.504156175841435e-11	8.566213e-08	-1.5950539e-07	0.8923304
3.751061924966304e-11	1.5915148e-07	-7.097908e-08	0.8700265
4.002903501767454e-11	2.0381793e-07	1.0864144e-09	0.8543133
4.25472576770997e-11	2.1368207e-07	3.160478e-08	0.8440572
4.501593365506966e-11	2.0399077e-07	4.6880427e-08	0.83816785
4.753407387195925e-11	1.8414724e-07	6.544824e-08	0.83543974
5.0002907965160865e-11	1.57991e-07	8.467448e-08	0.8351115
5.252111649108912e-11	1.2908579e-07	9.850157e-08	0.8364851
5.5039279802442395e-11	1.0133284e-07	1.0129991e-07	0.839018
5.75080680866741e-11	7.9785615e-08	9.547278e-08	0.8421628
6.002621996149865e-11	6.46252e-08	8.427942e-08	0.8457394
6.254433713512388e-11	5.7843337e-08	7.348112e-08	0.8495103
6.501306130005369e-11	5.629602e-08	6.663342e-08	0.853261
6.753114930289355e-11	5.6065566e-08	6.436182e-08	0.85702205
