# t (s)	mx ()	my ()	mz ()
7.804734893660018e-11	-8.362099e-09	3.4633576e-08	0.85748583
7.903485819922142e-11	-8.526707e-09	3.516032e-08	0.8588205
8.002233924699623e-11	-9.810651e-09	3.575291e-08	0.8601129
8.100984863502129e-11	-1.1753029e-08	3.63455e-08	0.86136574
8.204669863495361e-11	-1.297113e-08	3.595044e-08	0.8626415
8.30342158300656e-11	-1.438676e-08	3.6049205e-08	0.8638221
8.402167925272432e-11	-1.6065764e-08	3.63455e-08	0.86497223
8.500920308856469e-11	-1.8073985e-08	3.6213812e-08	0.8660947
8.604606090190771e-11	-2.0049283e-08	3.63455e-08	0.8672471
8.703355353280958e-11	-2.1283846e-08	3.6082128e-08	0.8683225
8.802104356222119e-11	-2.2518408e-08	3.5390773e-08	0.8693795
8.900854541611896e-11	-2.3934039e-08	3.410683e-08	0.87042046
9.004540979940268e-11	-2.5349669e-08	3.311918e-08	0.87149906
9.103290196093372e-11	-2.6666536e-08	3.2131528e-08	0.87251484
9.202039771745058e-11	-2.8016323e-08	3.1078038e-08	0.8735219
9.300789076665911e-11	-2.9234425e-08	3.0419603e-08	0.8745224
9.40447553321798e-11	-3.0386683e-08	2.956364e-08	0.875568
9.503226238721293e-11	-3.1275565e-08	2.8510147e-08	0.8765613
9.601974244395466e-11	-3.2493666e-08	2.8049245e-08	0.877554
9.700724542572417e-11	-3.410683e-08	2.7127438e-08	0.8785485
9.804410797152305e-11	-3.614797e-08	2.6337318e-08	0.879597
9.903160080551262e-11	-3.7629444e-08	2.5020453e-08	0.88060135
1.000191043028611e-10	-3.8913388e-08	2.376943e-08	0.8816139
1.010065843508818e-10	-4.0230255e-08	2.1991662e-08	0.88263667
1.0204347271222258e-10	-4.0888686e-08	2.0806482e-08	0.8837241
1.0303096003354236e-10	-4.2468926e-08	1.9357929e-08	0.8847749
1.0401846050433812e-10	-4.3983324e-08	1.817275e-08	0.8858431
1.0500595459797862e-10	-4.5497718e-08	1.6790041e-08	0.88693106
1.0604282824849026e-10	-4.753886e-08	1.4814741e-08	0.8880976
1.0703032744078714e-10	-4.98763e-08	1.27736e-08	0.8892345
1.0801781972384027e-10	-5.188452e-08	1.0732458e-08	0.8903995
1.0900532094637264e-10	-5.42878e-08	8.427942e-09	0.8915959
1.1004219445496844e-10	-5.6855686e-08	6.7818595e-09	0.8928892
1.110296930478571e-10	-5.9160204e-08	4.0822843e-09	0.8941601
1.1201718788496847e-10	-6.182685e-08	7.2427625e-10	0.895473
1.1300469595618204e-10	-6.340709e-08	-2.897105e-09	0.89683187
1.1404156250791509e-10	-6.5843295e-08	-7.637823e-09	0.8983128
1.1502907104583669e-10	-6.775275e-08	-1.1456733e-08	0.8997797
1.1601656201365304e-10	-6.976097e-08	-1.659251e-08	0.9013065
1.1700407290726977e-10	-7.176919e-08	-2.1201542e-08	0.90289855
1.1804094040531171e-10	-7.318482e-08	-2.7127438e-08	0.9046463
1.1902844918818455e-10	-7.492967e-08	-3.397514e-08	0.9063893
1.2001595213521108e-10	-7.5983166e-08	-4.0538897e-08	0.9082148
1.210034567212866e-10	-7.6707444e-08	-4.793392e-08	0.9101287
1.2204033207297096e-10	-7.6937894e-08	-5.6345403e-08	0.9122401
1.230278509498631e-10	-7.7168345e-08	-6.531655e-08	0.9143534
1.240153482780251e-10	-7.690497e-08	-7.492967e-08	0.9165716
1.250028647649033e-10	-7.5785636e-08	-8.5217685e-08	0.9188982
1.2603973902298442e-10	-7.334943e-08	-9.7777296e-08	0.92145985
1.2702725322484342e-10	-6.953052e-08	-1.11406855e-07	0.9240117
1.2801475887443775e-10	-6.413137e-08	-1.2536563e-07	0.92666775
1.2900228294034485e-10	-5.609849e-08	-1.403779e-07	0.92941767
1.3003918202334508e-10	-4.5201425e-08	-1.5703627e-07	0.93238586
1.3102668504368677e-10	-3.160478e-08	-1.7356294e-07	0.93525946
1.3201421390548087e-10	-1.4617212e-08	-1.9041882e-07	0.9381343
1.3300172040733143e-10	6.5843295e-09	-2.0648459e-07	0.9409469
1.3403861090977273e-10	3.3020413e-08	-2.230771e-07	0.94373405
1.350261508549282e-10	6.314372e-08	-2.3710172e-07	0.94609797
1.3601366468458708e-10	9.7349314e-08	-2.4822924e-07	0.94799954
1.370011981657495e-10	1.3616393e-07	-2.5626213e-07	0.94919974
1.3803810530990188e-10	1.8138182e-07	-2.5993288e-07	0.949358
1.3902562866393054e-10	2.2827871e-07	-2.5553783e-07	0.94804287
1.4001315578237116e-10	2.7647806e-07	-2.4230334e-07	0.94482785
1.4100069689660735e-10	3.2414655e-07	-2.1583433e-07	0.93925464
1.420376082975307e-10	3.7071422e-07	-1.7224606e-07	0.93050575
1.4302513289446346e-10	4.0580048e-07	-1.13793675e-07	0.91938114
1.440126707524572e-10	4.2768514e-07	-4.1744652e-08	0.905962
1.4500020335403636e-10	4.3298553e-07	3.2921648e-08	0.8911767
1.4603710959544663e-10	4.292983e-07	1.0179374e-07	0.8754585
1.4702463964998606e-10	4.2324072e-07	1.5683874e-07	0.8611579
1.4801217212098657e-10	4.0921609e-07	2.0931584e-07	0.8477129
1.4904907342743764e-10	3.7794052e-07	2.629452e-07	0.8343952
1.5003663090883441e-10	3.2947986e-07	3.099244e-07	0.8223647
1.5102422489659572e-10	2.671921e-07	3.488378e-07	0.8109458
1.5201188266092262e-10	1.9647639e-07	3.7565246e-07	0.80016583
1.530489516397786e-10	1.1832041e-07	3.9055158e-07	0.78958607
1.5403664007971006e-10	4.553064e-08	3.9183345e-07	0.78026336
1.550242775828311e-10	-2.2320878e-08	3.806401e-07	0.77171445
1.560117515013469e-10	-8.209836e-08	3.5825337e-07	0.7639645
1.5704850950476425e-10	-1.3381005e-07	3.2536465e-07	0.7567004
1.5803592673200032e-10	-1.7197034e-07	2.876035e-07	0.7506171
1.5902335721419085e-10	-1.98641e-07	2.4651732e-07	0.74533665
1.6001083359781804e-10	-2.1539812e-07	2.037027e-07	0.74082655
1.61047703181173e-10	-2.2268203e-07	1.5993336e-07	0.73687154
1.620351924471927e-10	-2.2235281e-07	1.2036155e-07	0.733806
1.630227190041457e-10	-2.1654215e-07	8.440288e-08	0.7313944
1.6401019628337015e-10	-2.0523356e-07	5.254295e-08	0.7296124
1.650470735251858e-10	-1.9015545e-07	2.4230333e-08	0.7283861
