# t (s)	mx ()	my ()	mz ()
0	9.876494e-10	6.58433e-10	0.9795362
5.0075020225462985e-12	7.6954354e-10	4.2798143e-10	0.97741485
1.0001050982326711e-11	5.1028554e-10	6.58433e-10	0.97765166
1.5041154425150447e-11	6.090505e-10	2.3045155e-10	0.9801106
2.0030719303918645e-11	8.888845e-10	5.925897e-10	0.9838576
2.5019630572014594e-11	4.4444226e-10	5.925897e-10	0.9874628
3.0007685722515856e-11	-1.8929948e-10	-3.292165e-10	0.98986256
3.5044511007891086e-11	3.950598e-10	-2.4691235e-10	0.99070567
4.003176532958887e-11	-2.3662436e-10	-7.2427625e-10	0.9901193
4.501890234260435e-11	1.5555479e-09	-2.6337318e-10	0.98850054
5.000592400369118e-11	9.341518e-10	5.925897e-10	0.9865275
5.504226239620982e-11	4.5267266e-11	5.7612887e-10	0.98494875
6.002917102988477e-11	5.1440074e-10	1.6460824e-10	0.98428184
6.501605476477189e-11	5.2674637e-10	5.5966803e-10	0.9845689
7.000290343906842e-11	1.8929948e-10	4.938247e-10	0.9855357
7.503911070803862e-11	1.176949e-09	6.748938e-10	0.986754
8.002593875673132e-11	-3.6213813e-10	6.58433e-10	0.9877672
8.501275361470556e-11	8.1481083e-10	-5.2674637e-10	0.9883073
9.004892434368827e-11	1.7818842e-09	7.2427625e-10	0.98829705
9.50357266687181e-11	5.473224e-10	9.876494e-10	0.98784626
1.0002250973973876e-10	4.5267268e-10	-3.2921648e-11	0.9871858
1.0500931693622221e-10	1.1357969e-09	3.6213813e-10	0.98657477
1.1004547008749958e-10	4.2798143e-10	1.2510226e-09	0.9862087
1.1503225607924121e-10	4.897095e-10	-3.292165e-10	0.9861704
1.2001903490665273e-10	8.724237e-10	3.292165e-10	0.9864066
1.2500582476695707e-10	7.613131e-10	6.5843296e-11	0.98678744
1.300419612085069e-10	1.259253e-09	6.58433e-10	0.9871643
1.3502873229394723e-10	1.9341469e-10	4.2798143e-10	0.98740953
1.4001549772095925e-10	9.711887e-10	7.2427625e-10	0.98747253
1.4500226867861756e-10	4.2386622e-10	7.2427625e-10	0.9873677
1.500384159593434e-10	4.5267268e-10	1.6460824e-10	0.98715913
1.5502518663790282e-10	5.2674637e-10	3.6213813e-10	0.9869387
1.6001194974377153e-10	7.2427625e-10	5.925897e-10	0.9867803
1.6504809054645566e-10	8.271564e-10	1.0534927e-09	0.9867246
