# t (s)	mx ()	my ()	mz ()
0	1.1522577e-09	3.950598e-10	0.97953594
2.5238303454349897e-12	9.417649e-09	-1.7646004e-08	0.97586113
5.001169755968133e-12	3.051837e-08	-2.4131568e-08	0.97314495
7.523995942125242e-12	5.5555283e-08	-1.3300346e-08	0.97142446
1.004565961351001e-11	7.387618e-08	1.458429e-08	0.971006
1.2517214486246549e-11	7.2855606e-08	4.8855725e-08	0.97197634
1.5037584930249564e-11	5.0600573e-08	7.749756e-08	0.97430223
1.7508135157424105e-11	1.3563719e-08	9.061272e-08	0.9776761
2.0027784669574854e-11	-3.015623e-08	8.2172434e-08	0.98188895
2.254722874002551e-11	-6.633712e-08	4.8197293e-08	0.9863921
2.5017071184144767e-11	-7.644407e-08	-3.6872247e-09	0.9903935
2.7508269968521503e-11	-1.11015915e-07	-2.6600691e-08	0.99305713
3.002638845133046e-11	-3.0222072e-08	-1.0156329e-07	0.9935103
3.25482014858404e-11	4.5481258e-08	-9.4386365e-08	0.9936208
3.5019142576564114e-11	1.2374836e-07	-5.5176685e-08	0.9937027
3.75369201922749e-11	1.5006923e-07	7.3514045e-08	0.99379796
4.0003461669227016e-11	2.6802336e-08	1.856781e-07	0.99389887
4.252021999895434e-11	-1.6128315e-07	1.1838625e-07	0.99398327
4.503834209717414e-11	-1.8814723e-07	-9.7349314e-08	0.9940455
4.750694402860989e-11	-6.195443e-09	-2.2241866e-07	0.99409693
5.0023479788172724e-11	1.970731e-07	-1.1641095e-07	0.9941242
5.253932435420571e-11	1.9879943e-07	1.1808995e-07	0.994162
5.500653260722686e-11	-6.3621086e-09	2.328219e-07	0.99420035
5.752392437722223e-11	-2.1285491e-07	1.0317645e-07	0.9942075
6.004125592331764e-11	-1.9533238e-07	-1.4287995e-07	0.9942067
6.250849069427265e-11	2.9287921e-08	-2.4493707e-07	0.9942335
6.50246778797266e-11	2.3432807e-07	-9.0995435e-08	0.99426377
6.754123005436804e-11	1.9261428e-07	1.6842715e-07	0.99426347
7.000892303647393e-11	-5.663758e-08	2.5520862e-07	0.9942482
7.252596499998167e-11	-2.5838145e-07	6.966221e-08	0.99424773
7.504260993455304e-11	-1.8574805e-07	-2.00427e-07	0.99426806
7.750969952491535e-11	8.804689e-08	-2.6482175e-07	0.9942846
8.00263200255581e-11	2.8175992e-07	-4.5859856e-08	0.99428046
8.254320701735582e-11	1.7501972e-07	2.3361201e-07	0.9942671
8.501074581294474e-11	-1.224068e-07	2.7158714e-07	0.99426436
8.752743737307877e-11	-3.0361167e-07	1.8304437e-08	0.9942752
9.004399639701485e-11	-1.601556e-07	-2.660069e-07	0.99428535
9.251130641772593e-11	1.5957535e-07	-2.7456656e-07	0.9942834
9.502811705174879e-11	3.248667e-07	1.4485526e-08	0.9942752
9.754491045556353e-11	1.4176885e-07	3.0050882e-07	0.9942724
1.0001224990559223e-10	-1.9790849e-07	2.750933e-07	0.9942777
1.025288780681619e-10	-3.421547e-07	-4.938247e-08	0.99428314
1.0504555799179309e-10	-1.1706938e-07	-3.3369383e-07	0.9942825
1.0751297236721257e-10	2.4188358e-07	-2.6995752e-07	0.99427825
1.1002974133361796e-10	3.6005173e-07	9.0073634e-08	0.9942764
1.1254645623853119e-10	8.991314e-08	3.6812986e-07	0.9942789
1.1501376665344423e-10	-2.8415087e-07	2.6073945e-07	0.9942818
1.1753046335483556e-10	-3.7017924e-07	-1.345837e-07	0.9942815
1.2004720104733693e-10	-5.3407145e-08	-3.998005e-07	0.9942792
1.2251460092658915e-10	3.3193663e-07	-2.454638e-07	0.99427825
1.25031321264461e-10	3.8046727e-07	1.8357112e-07	0.9942795
1.2754800814523984e-10	1.5102806e-08	4.3101022e-07	0.99428105
1.3001535469125395e-10	-3.7729856e-07	2.2557914e-07	0.9942809
1.3253208358788864e-10	-3.8258247e-07	-2.3506057e-07	0.9942796
1.350488127662846e-10	3.2106836e-08	-4.586644e-07	0.994279
1.3751617069882323e-10	4.2667278e-07	-1.9805664e-07	0.9942798
1.400328686828287e-10	3.8210513e-07	2.9161995e-07	0.9942805
1.4250023303482746e-10	-7.2258906e-08	4.852651e-07	0.9942806
1.450169514744595e-10	-4.7296888e-07	1.6421318e-07	0.99427986
1.4753367301007883e-10	-3.7250845e-07	-3.510106e-07	0.9942795
1.5000102780223148e-10	1.3108577e-07	-5.069605e-07	0.99427986
1.5251774410211384e-10	5.212567e-07	-1.2233684e-07	0.9942803
1.5503444774708786e-10	3.5851676e-07	4.136276e-07	0.9942803
1.5750180899316072e-10	-1.9273156e-07	5.24376e-07	0.9942799
1.6001852686593345e-10	-5.6568035e-07	7.348112e-08	0.9942796
1.625352436614826e-10	-3.3418766e-07	-4.776931e-07	0.99427986
1.6500258899831316e-10	2.6333615e-07	-5.351085e-07	0.9942801
1.6751930414181341e-10	6.1028504e-07	-1.6065764e-08	0.9942801
1.7003601329713892e-10	3.045664e-07	5.4478744e-07	0.99428
1.7250338761147398e-10	-3.367329e-07	5.407052e-07	0.99427986
1.7502009009941002e-10	-6.4865526e-07	-4.8460667e-08	0.99428
1.7753680676848439e-10	-2.6317156e-07	-6.107624e-07	0.99428004
1.800041714497003e-10	4.1726543e-07	-5.370179e-07	0.99428004
1.825208791990747e-10	6.843917e-07	1.225673e-07	0.99428
1.8503758242350236e-10	2.1436108e-07	6.7726415e-07	0.9942799
1.8750496363328177e-10	-4.989852e-07	5.2490276e-07	0.9942799
1.9002166591954862e-10	-7.1122696e-07	-2.0352164e-07	0.99428004
1.9253837965229921e-10	-1.5245192e-07	-7.4100046e-07	0.99428004
1.9500573524599685e-10	5.8847445e-07	-5.027794e-07	0.99428004
1.9752245486535263e-10	7.3458074e-07	2.9418786e-07	0.99428
2.0003916152353366e-10	8.266626e-08	8.0407835e-07	0.99428
2.0250653116892248e-10	-6.780666e-07	4.699236e-07	0.99428004
2.0502324456108053e-10	-7.468934e-07	-3.9110918e-07	0.99428004
2.0753995213933373e-10	7.6542833e-10	-8.622838e-07	0.99428004
2.1000731434925956e-10	7.7235836e-07	-4.2482094e-07	0.99428
2.1252403220863212e-10	7.517329e-07	4.9744614e-07	0.99428
2.150407365613007e-10	-9.3209415e-08	9.165387e-07	0.99428004
2.1750811679587946e-10	-8.647694e-07	3.6780065e-07	0.99428004
2.2002482636430964e-10	-7.421445e-07	-6.087871e-07	0.99428004
2.2254154026931788e-10	1.9983852e-07	-9.615096e-07	0.99428004
2.2500890093806773e-10	9.595756e-07	-2.9570225e-07	0.9942799
2.2752561964652718e-10	7.23873e-07	7.282269e-07	0.99428004
2.300423192554445e-10	-3.1554578e-07	1.0005548e-06	0.99428004
2.3250968329099652e-10	-1.0502006e-06	2.106327e-07	0.9942799
2.350263936504538e-10	-6.8768384e-07	-8.5135383e-07	0.99428
2.3754311198319983e-10	4.453188e-07	-1.026892e-06	0.99428004
2.4001047425442544e-10	1.1391137e-06	-1.090365e-07	0.99428004
2.4252717701822517e-10	6.393878e-07	9.792216e-07	0.99428004
2.450438975216666e-10	-5.8263913e-07	1.0429578e-06	0.99428004
2.475112614150468e-10	-1.2194549e-06	-7.3744495e-09	0.99428004
2.500279751519191e-10	-5.7090665e-07	-1.107616e-06	0.99428
2.5254467874729954e-10	7.331487e-07	-1.0428262e-06	0.99428004
2.55012045338922e-10	1.2952199e-06	1.4077297e-07	0.99428004
2.575287630250037e-10	4.8762723e-07	1.2393025e-06	0.99428004
2.6004546411716177e-10	-8.9044005e-07	1.0285381e-06	0.99428004
2.6251284142056156e-10	-1.3589728e-06	-2.8944714e-07	0.99428004
2.650295532906864e-10	-3.819076e-07	-1.3682237e-06	0.99428
2.675462633263393e-10	1.0584886e-06	-9.950239e-07	0.9942799
2.700136262197642e-10	1.4130959e-06	4.5616235e-07	0.99428004
