# t (s)	mx ()	my ()	mz ()	E_total (J)	MaxAngle (rad)
0	8.1481083e-10	5.925897e-10	0.9795363	-2.0725773e-17	0.2662736
2.5070025815070676e-12	6.9135464e-10	2.436202e-09	0.96312994	-2.0631868e-17	0.23582827
5.037596193092634e-12	-2.4691236e-09	4.6748743e-09	0.94448674	-2.0390601e-17	0.22741315
7.514005921403087e-12	-9.810651e-09	4.4773443e-09	0.92772603	-2.0051667e-17	0.2273965
1.0037150154891568e-11	-2.0016362e-08	4.4032705e-10	0.9136489	-1.96976e-17	0.2253866
1.2509122840300855e-11	-3.0814665e-08	-6.3868e-09	0.90255654	-1.941905e-17	0.22503321
1.5029765223381975e-11	-4.1184983e-08	-1.3259194e-08	0.8937994	-1.924156e-17	0.22741845
1.750050420881082e-11	-5.089687e-08	-1.817275e-08	0.8875126	-1.9173066e-17	0.23283717
2.0020262512926043e-11	-5.8666377e-08	-1.9423773e-08	0.8829864	-1.9189308e-17	0.23957235
2.2539703286585373e-11	-6.5184864e-08	-1.8041064e-08	0.87974596	-1.9263425e-17	0.24647632
2.500950662918323e-11	-6.887209e-08	-1.5736548e-08	0.87723243	-1.9366484e-17	0.25153318
2.752841838528957e-11	-7.150582e-08	-1.3925857e-08	0.8748813	-1.9482871e-17	0.2553854
3.004709931115694e-11	-7.051817e-08	-1.3432032e-08	0.87245995	-1.9597621e-17	0.2584349
3.251626341297635e-11	-6.732477e-08	-1.237854e-08	0.869887	-1.9701024e-17	0.26054808
3.5034672881024374e-11	-6.301204e-08	-1.257607e-08	0.86702156	-1.979326e-17	0.2615246
3.750360228461546e-11	-5.6822767e-08	-1.3168659e-08	0.86399895	-1.9869358e-17	0.26136637
4.002185342671122e-11	-4.8658197e-08	-1.39917e-08	0.86076385	-1.9932639e-17	0.25983915
4.254007474079888e-11	-4.0954532e-08	-1.4748899e-08	0.85746366	-1.9982765e-17	0.25723198
4.5008891641380164e-11	-3.274058e-08	-1.5012272e-08	0.8542531	-2.0020884e-17	0.25379142
4.752707164958067e-11	-2.4822922e-08	-1.4617212e-08	0.8510819	-2.005045e-17	0.24954064
5.00452488697984e-11	-1.7086336e-08	-1.3695406e-08	0.84807634	-2.0072472e-17	0.24636269
5.251402040171814e-11	-1.14073515e-08	-1.2197471e-08	0.8453319	-2.008836e-17	0.2434254
5.50321639015432e-11	-7.4073707e-09	-9.18514e-09	0.8427661	-2.0100138e-17	0.24088381
5.750094404253336e-11	-4.2798143e-09	-6.8970856e-09	0.84049416	-2.0108425e-17	0.23956431
6.001907454367093e-11	-1.876534e-09	-5.79421e-09	0.83842933	-2.0114409e-17	0.23805065
6.253722305587969e-11	1.3168659e-10	-4.016441e-09	0.8366151	-2.0118571e-17	0.23646188
6.50059718086042e-11	1.0699536e-09	-2.5843494e-09	0.8350685	-2.0121362e-17	0.23490916
6.752410807111048e-11	1.8929949e-09	-1.1357969e-09	0.83371264	-2.012326e-17	0.23414995
7.004223019795651e-11	3.094635e-09	1.1522577e-10	0.83256155	-2.0124477e-17	0.23386873
7.251097963678028e-11	2.8641833e-09	4.609031e-10	0.83161235	-2.0125208e-17	0.23355654
7.50291061339127e-11	2.9300267e-09	1.7119257e-09	0.83080643	-2.012563e-17	0.23323697
7.754723727448855e-11	2.9300267e-09	2.2633633e-09	0.830144	-2.012583e-17	0.2329392
8.001598518519642e-11	2.633732e-09	2.2715938e-09	0.82961464	-2.0125887e-17	0.232678
8.253409149074993e-11	1.8106907e-09	1.8436124e-09	0.829179	-2.0125854e-17	0.23245145
8.500281252823078e-11	2.1728288e-09	1.9259165e-09	0.82883835	-2.0125776e-17	0.23226431
8.752091580090005e-11	2.4526627e-09	1.5802392e-09	0.82856375	-2.0125667e-17	0.23210785
9.00390165733248e-11	2.6008102e-09	1.876534e-09	0.82834995	-2.0125547e-17	0.23198551
