# t (s)	mx ()	my ()	mz ()	E_total (J)	MaxAngle (rad)
0	1.0164559e-09	2.9629485e-10	0.9795359	-2.0725773e-17	0.26627198
2.5039902011368594e-12	2.897105e-09	1.2571955e-09	0.9597338	-2.0602765e-17	0.23534691
5.035677030111964e-12	4.312736e-09	5.8600533e-09	0.9364069	-2.0276953e-17	0.22945383
7.512295134344365e-12	1.7119257e-09	1.5407332e-08	0.9153783	-1.9861561e-17	0.22938544
1.0035268324699354e-11	-5.6625233e-09	2.7061596e-08	0.8978922	-1.9538686e-17	0.23204176
1.2507063266209278e-11	-1.0929988e-08	3.6213812e-08	0.88507134	-1.942543e-17	0.24309875
1.5027501090582856e-11	-1.2641913e-08	4.1612964e-08	0.87599057	-1.9477576e-17	0.26314124
1.754741835680391e-11	-1.0732458e-08	4.2863988e-08	0.8696167	-1.9601577e-17	0.27211452
2.0017523289990892e-11	-9.283905e-09	4.134959e-08	0.8646489	-1.9729297e-17	0.27428758
2.2536728528290484e-11	-8.362099e-09	3.7662367e-08	0.8600362	-1.9840491e-17	0.27224618
2.500634293566715e-11	-8.230412e-09	3.1868154e-08	0.8556296	-1.9925046e-17	0.26748616
2.7525174947371852e-11	-8.164569e-09	2.5810573e-08	0.8512111	-1.9988105e-17	0.26106563
3.004388379736691e-11	-7.934117e-09	1.9818833e-08	0.846961	-2.003224e-17	0.2536753
3.2513082519317063e-11	-7.0781545e-09	1.417277e-08	0.84306186	-2.0061774e-17	0.24852152
3.5031569087941347e-11	-5.629602e-09	9.646043e-09	0.8394249	-2.0081914e-17	0.24476902
3.750058128188237e-11	-3.374469e-09	6.2386523e-09	0.8362195	-2.009489e-17	0.24172014
4.001888754099369e-11	-1.8106907e-09	4.5761093e-09	0.8333241	-2.0103442e-17	0.2383124
4.253713879103378e-11	-9.876494e-10	2.954718e-09	0.8308045	-2.0108817e-17	0.23718618
4.500596218062139e-11	3.6213813e-10	1.3991701e-09	0.82868934	-2.011202e-17	0.23593514
4.7524136285104856e-11	1.6131608e-09	1.4362069e-09	0.8268739	-2.0113866e-17	0.23460037
5.004228162383266e-11	2.436202e-09	2.2386721e-09	0.8253735	-2.0114776e-17	0.23335686
5.251102970196177e-11	1.1851794e-09	2.255133e-09	0.8241741	-2.0115079e-17	0.23228553
5.502913466885752e-11	1.4485525e-09	7.6954354e-10	0.8231925	-2.0115026e-17	0.23141421
5.754724749236958e-11	1.6954649e-09	7.901196e-10	0.8224205	-2.011477e-17	0.23135728
6.001598116120879e-11	3.1604783e-09	1.0864144e-09	0.82183576	-2.011442e-17	0.23128891
6.253408473577144e-11	2.9464875e-09	1.9814717e-09	0.82138497	-2.011403e-17	0.23122051
6.50028225410049e-11	2.4691236e-09	2.736612e-09	0.8210592	-2.0113656e-17	0.2311685
6.752090796021702e-11	2.3045155e-09	1.9752988e-09	0.820821	-2.0113302e-17	0.23113103
7.003901404409884e-11	2.3209763e-09	1.9218012e-09	0.8206569	-2.0112991e-17	0.231105
7.250773672095974e-11	2.0082205e-09	2.1275615e-09	0.8205509	-2.0112731e-17	0.231092
7.502583862806441e-11	1.679004e-09	2.0874382e-09	0.82048476	-2.0112513e-17	0.23108704
7.754393823535447e-11	1.8106907e-09	1.6604856e-09	0.8204491	-2.0112337e-17	0.23108783
8.001266303193869e-11	2.0740638e-09	1.4485525e-09	0.820435	-2.0112202e-17	0.23109278
8.253076336331148e-11	2.2057505e-09	1.0905296e-09	0.82043475	-2.01121e-17	0.23109823
8.504887741457056e-11	2.633732e-09	1.3189235e-09	0.8204433	-2.0112021e-17	0.23110762
8.751760274920836e-11	2.5267366e-09	1.7119257e-09	0.82045645	-2.0111964e-17	0.23111542
9.003570726739584e-11	2.5678886e-09	1.6934073e-09	0.8204722	-2.0111929e-17	0.23112088
9.250443357748584e-11	2.0411421e-09	1.5802392e-09	0.820488	-2.0111904e-17	0.23112792
9.502253133757849e-11	2.5678886e-09	1.8436124e-09	0.8205033	-2.011189e-17	0.23113415
9.754063921625039e-11	2.6831144e-09	1.9526654e-09	0.8205171	-2.0111882e-17	0.23113884
1.0000936157548714e-10	2.5678886e-09	1.876534e-09	0.8205289	-2.0111876e-17	0.23114327
1.0252745903466035e-10	3.6378422e-09	1.5555479e-09	0.820539	-2.0111876e-17	0.23114482
1.0504555356061712e-10	2.9794092e-09	2.3209763e-09	0.82054734	-2.011188e-17	0.23114897
1.0751427375453914e-10	2.0905246e-09	2.1069855e-09	0.8205537	-2.011188e-17	0.23115106
1.1003238770008895e-10	1.3497876e-09	2.2633633e-09	0.82055885	-2.0111887e-17	0.23115028
1.1250112778813956e-10	1.7283865e-09	1.4794166e-09	0.8205627	-2.0111889e-17	0.23115133
1.1501923458630198e-10	2.6008102e-09	1.3991701e-09	0.8205656	-2.0111894e-17	0.2311534
1.1753732731988574e-10	2.255133e-09	2.49793e-09	0.8205677	-2.0111897e-17	0.2311534
1.2000605525619237e-10	1.8106907e-09	2.2469024e-09	0.82056904	-2.01119e-17	0.23115367
1.225241546947335e-10	1.777769e-09	1.907398e-09	0.82056993	-2.0111902e-17	0.2311534
1.25042262020015e-10	1.3991701e-09	1.4094581e-09	0.8205705	-2.0111902e-17	0.23115417
1.2751096873547063e-10	1.6707736e-09	6.58433e-10	0.8205709	-2.0111906e-17	0.23115471
1.3002908612400874e-10	2.3209763e-09	1.0534927e-09	0.8205709	-2.0111906e-17	0.23115262
1.3254718381220407e-10	2.0082205e-09	1.3827093e-09	0.8205709	-2.0111907e-17	0.23115496
1.350159104499173e-10	1.6625432e-09	1.2757139e-09	0.8205709	-2.0111906e-17	0.23115392
1.375340209796136e-10	1.8929949e-09	1.7757115e-09	0.82057065	-2.0111909e-17	0.23115262
1.4000275961169066e-10	1.4485525e-09	1.5864119e-09	0.8205705	-2.011191e-17	0.23115367
1.4252084788158963e-10	2.057603e-09	1.2098705e-09	0.82057035	-2.0111909e-17	0.23115289
1.4503895523736604e-10	2.2222113e-09	1.5020503e-09	0.8205702	-2.0111909e-17	0.23115392
1.475076792822715e-10	1.7942299e-09	1.9423774e-09	0.82057005	-2.011191e-17	0.23115417
1.5002578640284343e-10	1.5143958e-09	1.238677e-09	0.82057	-2.0111909e-17	0.23115212
1.5254388616099272e-10	1.8271515e-09	1.1707761e-09	0.8205699	-2.0111909e-17	0.23115392
1.5501262625343335e-10	2.0246813e-09	1.5802392e-09	0.8205699	-2.0111909e-17	0.23115417
1.575307276380066e-10	2.057603e-09	2.3127458e-09	0.8205698	-2.0111907e-17	0.23115237
1.6004881153359139e-10	1.9259165e-09	1.7139833e-09	0.8205698	-2.0111907e-17	0.23115392
1.6251753854432588e-10	1.7613082e-09	1.2715987e-09	0.8205697	-2.0111909e-17	0.23115289
1.6503565058971734e-10	2.5020452e-09	1.2654259e-09	0.8205696	-2.0111909e-17	0.23115315
1.675043728951783e-10	2.9300267e-09	1.6748889e-09	0.8205696	-2.0111909e-17	0.23115417
1.7002247271790696e-10	3.2427825e-09	2.0041053e-09	0.8205697	-2.0111907e-17	0.23115237
1.725405713065124e-10	2.9300267e-09	1.7921723e-09	0.8205697	-2.0111909e-17	0.23115392
1.7500929629124862e-10	2.2386721e-09	1.1707761e-09	0.8205696	-2.0111907e-17	0.23115392
1.7752740910963923e-10	2.5020452e-09	4.4444226e-10	0.8205696	-2.0111907e-17	0.23115289
1.8004551812506074e-10	3.0699436e-09	1.1563729e-09	0.82056963	-2.0111909e-17	0.23115417
1.8251424689105933e-10	2.7654186e-09	1.0041102e-09	0.8205696	-2.0111907e-17	0.2311534
1.8503233740166847e-10	2.1069855e-09	1.0329168e-09	0.8205696	-2.0111907e-17	0.23115315
1.8750105551079907e-10	2.1399071e-09	1.1234512e-09	0.8205697	-2.0111907e-17	0.23115367
1.900191513898233e-10	2.353898e-09	1.0534927e-09	0.8205696	-2.0111909e-17	0.23115262
1.925372590134695e-10	2.3045155e-09	4.4855747e-10	0.8205696	-2.0111907e-17	0.23115367
1.9500598848723517e-10	2.954718e-09	1.0164559e-09	0.8205696	-2.0111907e-17	0.23115392
1.9752409207314718e-10	2.6666536e-09	2.1851745e-09	0.8205696	-2.0111907e-17	0.23115183
2.000421852083215e-10	2.633732e-09	2.5267366e-09	0.8205696	-2.0111909e-17	0.23115392
2.0251091205298887e-10	2.732497e-09	1.917686e-09	0.8205696	-2.0111907e-17	0.2311534
2.050290075627863e-10	2.6419622e-09	1.668716e-09	0.8205696	-2.0111909e-17	0.23115289
2.0754711692968376e-10	2.419741e-09	2.2880546e-09	0.8205696	-2.0111907e-17	0.23115315
2.100158240783323e-10	2.4032802e-09	2.078179e-09	0.8205697	-2.0111909e-17	0.23115289
2.1253393906776483e-10	2.0246813e-09	2.279824e-09	0.8205696	-2.0111907e-17	0.23115367
2.150026555820707e-10	1.9917596e-09	1.9218012e-09	0.8205696	-2.0111907e-17	0.23115392
2.175207529822634e-10	2.156368e-09	1.8127483e-09	0.8205696	-2.0111907e-17	0.23115237
2.2003885670535196e-10	1.4156308e-09	1.9752988e-09	0.8205696	-2.0111907e-17	0.23115417
2.225075662511411e-10	1.777769e-09	1.7736538e-09	0.8205697	-2.0111907e-17	0.23115392
2.2502566578732738e-10	1.6131608e-09	1.2818867e-09	0.8205696	-2.0111907e-17	0.23115262
2.2754376939615675e-10	1.876534e-09	1.4485525e-09	0.8205696	-2.0111909e-17	0.23115417
2.3001248637507612e-10	2.5020452e-09	1.2427922e-09	0.8205697	-2.0111909e-17	0.23115315
2.3253058073622877e-10	2.59258e-09	1.316866e-09	0.8205696	-2.0111907e-17	0.2311534
2.350486728935539e-10	2.3209763e-09	1.4135733e-09	0.8205697	-2.0111907e-17	0.23115289
2.3751737889927695e-10	2.0411421e-09	1.176949e-09	0.8205696	-2.0111907e-17	0.23115262
2.4003548064883826e-10	2.633732e-09	1.2880595e-09	0.8205696	-2.0111909e-17	0.23115417
2.4250418539830403e-10	2.8806442e-09	2.0123359e-09	0.8205696	-2.0111907e-17	0.23115417
2.450222936912451e-10	2.732497e-09	2.047315e-09	0.8205697	-2.0111907e-17	0.23115237
2.4754038411007e-10	2.8477225e-09	2.7345544e-09	0.8205696	-2.0111909e-17	0.23115417
2.5000909775977143e-10	2.9464875e-09	2.3333218e-09	0.8205696	-2.0111907e-17	0.23115315
2.5252721197978704e-10	3.0781742e-09	2.5102758e-09	0.8205696	-2.0111909e-17	0.23115315
2.550452898518878e-10	2.633732e-09	2.897105e-09	0.82056963	-2.0111909e-17	0.23115289
2.575139984327564e-10	2.7654186e-09	2.0617184e-09	0.8205697	-2.011191e-17	0.23115237
2.600320865940458e-10	2.4526627e-09	1.866246e-09	0.8205696	-2.0111907e-17	0.23115392
