# t (s)	mx ()	my ()	mz ()	E_total (J)	MaxAngle (rad)
0	1.3497876e-09	7.571979e-10	0.9795363	-2.0725773e-17	0.2662736
2.517056128068431e-12	1.6296217e-09	9.218062e-10	0.972093	-2.0693781e-17	0.24421498
5.0445463195164915e-12	1.4814742e-09	1.777769e-09	0.96521133	-2.0627357e-17	0.23364718
7.518836684218634e-12	1.0534927e-09	3.3662386e-09	0.9599344	-2.0533334e-17	0.22960708
1.0041698771646678e-11	-7.571979e-10	4.7407176e-09	0.9568596	-2.041436e-17	0.2271542
1.2513972589236335e-11	-3.753068e-09	4.609031e-09	0.9563692	-2.0280591e-17	0.22590823
1.5034834353190994e-11	-6.913546e-09	4.016441e-09	0.95820266	-2.0125491e-17	0.22593404
1.7505646831620937e-11	-1.0205711e-08	5.2674637e-10	0.9616205	-1.9945488e-17	0.22341515
2.0025455691507496e-11	-1.2115167e-08	-4.872404e-09	0.9652049	-1.9713858e-17	0.21879645
2.2544970475458938e-11	-1.1917637e-08	-1.2905287e-08	0.96513206	-1.9415597e-17	0.2101649
2.501485938558987e-11	-7.143998e-09	-2.0938169e-08	0.95394516	-1.9128108e-17	0.20543805
2.7533958287391362e-11	3.1275567e-09	-2.436202e-08	0.92381376	-1.906159e-17	0.22144192
3.000338104738215e-11	1.2510227e-08	-2.116862e-08	0.88322175	-1.925012e-17	0.24947885
3.252194658563934e-11	2.0148049e-08	-1.257607e-08	0.8480931	-1.9536754e-17	0.22773679
3.504045653905122e-11	2.4625393e-08	-2.6316742e-09	0.82048935	-1.9771903e-17	0.20536675
3.7509687612664506e-11	2.4921688e-08	5.2016205e-09	0.79877335	-1.9913695e-17	0.20241152
4.0028099382011236e-11	2.1481375e-08	1.2246853e-08	0.7818614	-1.9991498e-17	0.20680682
4.254607097473245e-11	1.5911445e-08	1.6460824e-08	0.77003133	-2.0028577e-17	0.21069565
4.501479321644089e-11	9.2715595e-09	1.7613083e-08	0.7628771	-2.0043256e-17	0.21140753
4.7532999525877085e-11	3.8682937e-09	1.5637783e-08	0.75937206	-2.004782e-17	0.21283753
5.000179637945112e-11	1.0534927e-09	1.3300346e-08	0.75912845	-2.0048855e-17	0.21281101
5.251992817362622e-11	-8.888845e-10	1.0864144e-08	0.7614609	-2.005011e-17	0.21229084
5.5038049003641814e-11	-1.777769e-09	8.7571586e-09	0.7657052	-2.0053325e-17	0.2128443
5.750681653158383e-11	-1.9259165e-09	7.1769195e-09	0.7713112	-2.005901e-17	0.21367536
6.002499518293519e-11	-1.6131608e-09	5.9588183e-09	0.77819735	-2.006741e-17	0.21365286
6.254317541870637e-11	-9.876494e-10	5.135777e-09	0.7858962	-2.007805e-17	0.2149268
6.501200423539024e-11	3.292165e-10	5.0040905e-09	0.7938527	-2.0090063e-17	0.2158677
6.753019247421386e-11	7.2427625e-10	5.074049e-09	0.8020561	-2.010315e-17	0.21611245
7.004836169976299e-11	6.255113e-10	5.0246665e-09	0.81008947	-2.0116288e-17	0.21838224
7.251716220785629e-11	1.1193361e-09	3.7119159e-09	0.81759465	-2.0128512e-17	0.21937375
7.503533959336074e-11	1.2263314e-09	3.7612984e-09	0.8246952	-2.0139717e-17	0.22066607
7.750411459398268e-11	2.3045155e-09	3.9670587e-09	0.8309851	-2.0149114e-17	0.22237489
8.002226842406156e-11	2.436202e-09	3.8189114e-09	0.8366505	-2.0156924e-17	0.22302394
8.254041412882937e-11	3.456773e-09	3.8189114e-09	0.84156305	-2.016295e-17	0.22443756
8.500917003456695e-11	4.510266e-09	4.3456576e-09	0.84570676	-2.0167203e-17	0.22536632
8.752729130641564e-11	4.1975103e-09	5.432072e-09	0.8493375	-2.0170003e-17	0.22515205
9.004541153906255e-11	3.5226164e-09	5.3991505e-09	0.85246485	-2.0171425e-17	0.22667386
9.251414088353873e-11	4.0493626e-09	5.1028555e-09	0.8551326	-2.0171645e-17	0.22734997
9.503224696743235e-11	3.7201462e-09	5.464994e-09	0.85752845	-2.017086e-17	0.22739731
9.750096815825638e-11	3.654303e-09	6.18927e-09	0.8596252	-2.0169249e-17	0.2275239
1.0001906930744502e-10	2.1399071e-09	6.7818595e-09	0.8615629	-2.0166883e-17	0.22841297
1.0253716897441429e-10	2.0740638e-09	5.99174e-09	0.8633426	-2.0163904e-17	0.22903626
1.050058927752111e-10	1.2839443e-09	5.7612883e-09	0.86496913	-2.016047e-17	0.22930992
1.0752397312829665e-10	2.436202e-09	5.135777e-09	0.86653537	-2.0156502e-17	0.22934978
1.1004206959564458e-10	2.4526627e-09	6.617251e-09	0.8680305	-2.0152102e-17	0.2291625
1.1251078426746555e-10	2.1069855e-09	7.506136e-09	0.869445	-2.014738e-17	0.22874625
1.1502888069514553e-10	8.888845e-10	7.5719795e-09	0.87085086	-2.0142146e-17	0.22810003
1.1754697391337904e-10	1.6460824e-10	6.5184866e-09	0.8722328	-2.0136484e-17	0.2272304
1.2001570158391164e-10	9.876494e-10	6.18927e-09	0.8735764	-2.013048e-17	0.226167
1.2253379735390365e-10	9.218062e-10	6.847703e-09	0.87494624	-2.0123855e-17	0.2248595
1.2500253525377715e-10	7.571979e-10	7.835352e-09	0.87629914	-2.0116804e-17	0.22334601
1.2752063983220556e-10	-3.950598e-10	7.835352e-09	0.8776998	-2.0108979e-17	0.22273514
1.3003874154852796e-10	-1.0534927e-09	8.427942e-09	0.8791326	-2.0100403e-17	0.22223783
1.3250747079478718e-10	-1.8106907e-09	7.7695095e-09	0.8805802	-2.0091157e-17	0.22147097
1.3502557731078258e-10	-2.3703588e-09	7.111076e-09	0.88211334	-2.0080701e-17	0.22036551
1.375437001619747e-10	-2.9300267e-09	8.296255e-09	0.8837185	-2.006903e-17	0.21889007
1.400124473708791e-10	-3.654303e-09	7.868274e-09	0.88537866	-2.0056155e-17	0.21843064
1.4253057151540662e-10	-4.3456576e-09	8.164569e-09	0.8871797	-2.0041254e-17	0.21811025
1.4504869026502426e-10	-5.8600533e-09	7.242763e-09	0.8891128	-2.0024158e-17	0.21728316
1.4751743358652395e-10	-6.5184866e-09	8.493785e-09	0.89116335	-2.000474e-17	0.21585546
