# t (s)	mx ()	my ()	mz ()
0	1.1440273e-09	3.950598e-10	0.9795479
2.5150266718846404e-12	2.436202e-09	-6.469104e-09	0.97074735
5.042768358816546e-12	1.2905287e-08	-1.1522577e-08	0.96221673
7.517636041311221e-12	3.153894e-08	-7.0781545e-09	0.9553751
1.0040676088892264e-11	5.1209625e-08	1.3695406e-08	0.9509469
1.2512877827311658e-11	6.324249e-08	4.734133e-08	0.9492957
1.5033618543994758e-11	6.0839206e-08	9.425468e-08	0.9498857
1.7504234530383448e-11	3.410683e-08	1.5104452e-07	0.95161045
2.0023808799209465e-11	-2.956364e-08	2.101718e-07	0.95207244
2.2543129188995975e-11	-1.366166e-07	2.5007284e-07	0.94580626
2.5012879934497895e-11	-2.7058303e-07	2.2478902e-07	0.92487967
2.753186724000238e-11	-3.750434e-07	9.547278e-08	0.88711536
3.0001340931986035e-11	-3.8544667e-07	-5.15553e-08	0.8495348
3.252018454550978e-11	-3.3711768e-07	-2.0292904e-07	0.8161368
3.5039101304428716e-11	-2.188302e-07	-3.303358e-07	0.7861032
3.750856869166223e-11	-7.064986e-08	-3.8373474e-07	0.7607554
4.00267516587353e-11	6.623836e-08	-3.587143e-07	0.73997
4.2544777679699725e-11	1.5940662e-07	-2.7626203e-07	0.7246351
4.501358289672884e-11	2.0039407e-07	-1.7764522e-07	0.71450925
4.753177186004526e-11	2.005093e-07	-8.74399e-08	0.7086636
5.0000536838879545e-11	1.7698679e-07	-2.278178e-08	0.70680857
5.2518653656297197e-11	1.4452604e-07	1.6724197e-08	0.7080097
5.5036792421124165e-11	1.14336885e-07	3.6082128e-08	0.7116672
5.750556654670721e-11	9.078145e-08	4.5826933e-08	0.7172751
6.00237529342263e-11	7.232886e-08	5.0831026e-08	0.7247015
6.254196601163181e-11	5.769519e-08	5.4386565e-08	0.73342574
6.501079280773064e-11	4.497097e-08	5.590096e-08	0.74285734
6.752897954065464e-11	3.25842e-08	5.4979154e-08	0.753073
7.004716983503082e-11	2.2123348e-08	5.0567653e-08	0.763646
7.251599157177137e-11	1.3925857e-08	4.3851635e-08	0.77413046
7.50341851965344e-11	7.341528e-09	3.5621223e-08	0.7847008
7.750298493748185e-11	3.4238514e-09	2.6744724e-08	0.79469985
8.002117683301702e-11	1.9094557e-09	1.7489626e-08	0.80429363
8.253934301238987e-11	-1.6460824e-10	7.111076e-09	0.81307477
8.500812171197871e-11	-5.2674637e-10	-4.4773443e-09	0.8207494
8.75262835515822e-11	2.0740638e-09	-1.47324375e-08	0.8275442
9.004443212224628e-11	7.242763e-09	-2.3045153e-08	0.8332911
9.251317541192439e-11	1.28723645e-08	-2.7012213e-08	0.83797246
9.503130056090061e-11	1.8600732e-08	-2.6814682e-08	0.8418911
9.75000549115998e-11	2.1827052e-08	-2.416449e-08	0.8450289
1.0001816830134344e-10	2.4559549e-08	-2.1201542e-08	0.8476501
1.0253627761605767e-10	2.6600691e-08	-1.7250944e-08	0.84981143
